loc_id,Country,State,Month,nb_birds,nb_species,loc_type,cats,dogs,nb_trees,brsh_piles,water_srcs,bird_baths,nearby_feeders,housing_density,fed_yr_round
L10184970,US,AZ,2,13,3,desert,0,0,25,1,1,1,0,3,1
L29761,US,AZ,11,13,3,desert,0,0,20,0,2,1,0,2,0
L12755408,US,AZ,4,13,3,desert,0,0,11,0,3,4,0,1,1
L72535,US,AZ,2,13,2,desert,0,0,44,4,4,11,0,3,1
L72535,US,AZ,11,13,3,desert,0,0,44,4,3,11,0,3,1
L31915,US,NV,12,14,2,desert,0,0,13,1,5,1,0,2,1
L6801773,US,CA,3,14,1,desert,0,0,9,4,1,1,0,1,1
L1135602,US,NV,2,14,1,desert,0,0,24,1,2,1,0,1,1
L12639562,US,NM,3,14,1,desert,0,0,31,0,3,4,1,3,1
L12804981,US,NM,4,14,2,desert,0,0,35,3,1,1,1,3,1
L229881,US,CA,3,14,3,desert,0,0,13,4,1,1,0,2,0
L6693726,US,CA,4,15,2,desert,0,0,27,5,4,1,1,1,1
L12755408,US,AZ,1,15,2,desert,0,0,11,9,4,4,0,1,1
L8177159,US,AZ,3,15,2,desert,3,0,2,10,5,10,0,3,0
L31915,US,NV,12,16,2,desert,0,0,13,1,6,1,0,2,1
L72535,US,AZ,1,16,2,desert,0,0,44,4,3,11,0,3,1
L10184970,US,AZ,2,18,2,desert,0,0,25,1,3,1,0,3,1
L6693726,US,CA,11,19,2,desert,0,0,27,1,1,1,1,1,1
L13316815,US,AZ,1,19,1,desert,0,0,22,1,1,1,0,3,1
L29761,US,AZ,12,20,1,desert,0,0,20,0,10,1,0,2,0
L12639562,US,NM,12,20,1,desert,0,0,21,0,10,4,1,3,1
L1322368,US,NM,1,20,1,desert,3,0,22,1,1,1,0,4,1
L72535,US,AZ,11,20,1,desert,0,0,44,4,10,11,0,3,1
L12755408,US,AZ,3,22,1,desert,1,0,11,0,10,4,0,1,1
L12755408,US,AZ,1,23,3,desert,2,0,11,0,4,4,0,1,1
L5095036,US,PA,1,25,1,desert,4,0,20,4,6,1,0,2,1
L4155526,US,OR,2,25,1,desert,5,0,15,1,10,1,1,1,1
L1135602,US,NV,2,26,2,desert,0,0,24,1,10,1,0,1,1
L8177159,US,AZ,2,26,2,desert,0,0,32,0,10,0,0,3,0
L12639562,US,NM,12,27,1,desert,0,0,31,3,1,4,1,3,1
L613821,US,CO,2,28,1,desert,0,0,46,4,10,1,0,2,1
L8537969,US,CA,11,30,1,desert,0,0,21,5,10,1,0,1,1
L8696821,US,AZ,1,30,1,desert,2,0,22,9,4,1,1,3,1
L170259,US,AZ,3,31,2,desert,5,0,44,10,6,1,0,1,0
L31915,US,NV,12,34,1,desert,3,0,11,1,10,1,0,2,1
L13276469,US,TN,2,38,2,desert,2,0,11,1,3,1,0,1,1
L10316901,US,AZ,1,44,2,desert,5,0,20,0,3,1,1,4,1
L1135602,US,NV,3,49,1,desert,6,0,15,1,1,5,0,1,1
L13276469,US,TN,1,50,1,desert,0,0,24,1,1,1,0,1,1
L272593,US,OR,12,50,1,desert,0,0,32,4,4,1,0,1,1
L356131,US,CO,1,55,1,desert,0,0,31,6,10,1,1,2,1
L356131,US,CO,1,62,3,desert,2,0,46,7,1,1,1,2,1
L72535,US,AZ,1,68,1,desert,2,0,44,9,1,11,0,3,1
L72535,US,AZ,3,68,1,desert,6,0,44,6,4,11,0,3,1
L72535,US,AZ,3,68,2,desert,4,0,44,7,4,11,0,3,1
L1135602,US,NV,1,77,2,desert,0,0,24,1,5,1,0,1,1
L100057,US,MA,2,1,1,garden,0,0,1,1,6,1,0,3,0
L100057,US,MA,2,1,1,garden,0,0,1,1,3,1,0,3,0
L10046643,US,KY,1,1,1,garden,1,1,2,0,3,1,1,3,0
L10065814,US,SD,3,1,1,garden,0,0,3,0,1,0,1,3,0
L10129451,US,CO,3,1,1,garden,0,1,3,0,0,1,1,3,0
L10132329,US,PA,1,1,1,garden,1,0,3,0,0,0,1,3,0
